StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,age,gender,strategy_yn,strategy_text,strategy_modify,hypothesis_guess_1,hypothesis_guess_2,challenge,avatar_embodiment_1,avatar_embodiment_2,avatar_embodiment_3,avatar_embodiment_4,avatar_embodiment_5,avatar_embodiment_6,avatar_embodiment_7,avatar_embodiment_8,avatar_embodiment_9,avatar_embodiment_10,avatar_embodiment_11,avatar_embodiment_12,avatar_embodiment_13,avatar_embodiment_14,avatar_embodiment_15,avatar_embodiment_16,tool_embodiment_1,tool_embodiment_2,tool_embodiment_3,tool_embodiment_4,tool_embodiment_5,tool_embodiment_6,tool_embodiment_7,tool_embodiment_8,tool_embodiment_9,tool_embodiment_10,tool_embodiment_11,Q18,Q19,data_qc
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your age in years?,What is your gender?,"Did you use any strategies during the tasks? (for example, attempting to use an explicit strategy to respond, rather than your perception)",Please describe any strategies you used,Did you modify these strategies (or use different strategies) when performing the same tasks again (if applicable)?,"What do you think the researchers were expecting to see from your performance in the tasks (i.e., what do you think the researchers predicted)?","What do you think we were testing for (i.e., what was the ""point"" of the study)?","What part of the experiment did you find to be the most challenging, and why?","Please indicate the frequency with which you experienced what is described in the following statements:

“During the experiment there were moments in which… - I felt out of my body""","Please indicate the frequency with which you experienced what is described in the following statements:

“During the experiment there were moments in which… - I felt as if my real arm was drifting toward the virtual arm, or as if the virtual arm was drifting toward my real arm""","Please indicate the frequency with which you experienced what is described in the following statements:

“During the experiment there were moments in which… - I felt as if the movements of the virtual arm were influencing my own movements""","Please indicate the frequency with which you experienced what is described in the following statements:

“During the experiment there were moments in which… - It felt as if my real arm was turning into an ‘avatar’ arm""","Please indicate the frequency with which you experienced what is described in the following statements:

“During the experiment there were moments in which… - At some point it felt as if my real arm was starting to take on the posture or shape of the virtual arm that I saw""","Please indicate the frequency with which you experienced what is described in the following statements:

“During the experiment there were moments in which… - I felt like I was wearing different clothes from when I came to the laboratory""","Please indicate the frequency with which you experienced what is described in the following statements:

“During the experiment there were moments in which… - I felt as if my body had changed""","Please indicate the frequency with which you experienced what is described in the following statements:

“During the experiment there were moments in which… - I felt that my (real) arm could be affected by objects in the virtual environment""","Please indicate the frequency with which you experienced what is described in the following statements:

“During the experiment there were moments in which… - I felt as if the virtual arm was my real arm""","Please indicate the frequency with which you experienced what is described in the following statements:

“During the experiment there were moments in which… - At some point it felt that the virtual arm resembled my own (real) arm in terms of shape, skin tone or other visual features.""","Please indicate the frequency with which you experienced what is described in the following statements:

“During the experiment there were moments in which… - I felt as if my arm was located where I saw the virtual arm""","Please indicate the frequency with which you experienced what is described in the following statements:

“During the experiment there were moments in which… - I felt like I could control the virtual arm as if it was my own arm""","Please indicate the frequency with which you experienced what is described in the following statements:

“During the experiment there were moments in which… - It seemed as if I felt the objects in the virtual environment in the locations where I saw the virtual arm touch them""","Please indicate the frequency with which you experienced what is described in the following statements:

“During the experiment there were moments in which… - It seemed as if the touch I felt was caused by the objects in the virtual environment touching the virtual arm""","Please indicate the frequency with which you experienced what is described in the following statements:

“During the experiment there were moments in which… - It seemed as if my arm was touching the objects in the virtual environment""","Please indicate the frequency with which you experienced what is described in the following statements:

“During the experiment there were moments in which… - I felt a touch sensation in my real arm when I saw the virtual arm touch the objects in the virtual environment""","Please continue as above, considering only the portion of the experiment where you used a tool:
“During the tool-use task, there were moments in which… - I felt as if my (real) arm was drifting toward the virtual tool, or as if the virtual tool was drifting toward my (real) arm.""","Please continue as above, considering only the portion of the experiment where you used a tool:
“During the tool-use task, there were moments in which… - At some point it felt as if my (real) arm was starting to take on the posture or shape of the virtual tool that I saw""","Please continue as above, considering only the portion of the experiment where you used a tool:
“During the tool-use task, there were moments in which… - After tool-use, it felt as if my arm had changed.""","Please continue as above, considering only the portion of the experiment where you used a tool:
“During the tool-use task, there were moments in which… - I felt a touch sensation in my hand when the tool touched the cube.""","Please continue as above, considering only the portion of the experiment where you used a tool:
“During the tool-use task, there were moments in which… - I felt that my own arm could be affected by objects touching the tool.""","Please continue as above, considering only the portion of the experiment where you used a tool:
“During the tool-use task, there were moments in which… - I felt as if the virtual tool was my arm.""","Please continue as above, considering only the portion of the experiment where you used a tool:
“During the tool-use task, there were moments in which… - I felt as if my arm was located where I saw the virtual tool.""","Please continue as above, considering only the portion of the experiment where you used a tool:
“During the tool-use task, there were moments in which… - I felt as if I could control the virtual tool as if it were my arm.""","Please continue as above, considering only the portion of the experiment where you used a tool:
“During the tool-use task, there were moments in which… - It seemed as if I felt the cube in the location where I saw the tips of the virtual tool touch it.""","Please continue as above, considering only the portion of the experiment where you used a tool:
“During the tool-use task, there were moments in which… - It seemed as if the touch I felt was caused by the cube touching the virtual tool.""","Please continue as above, considering only the portion of the experiment where you used a tool:
“During the tool-use task, there were moments in which… - During tool-use, it felt as if my hand was touching the cube.""","Having completed the questionnaire on the previous page, what do you think the researchers were expecting to see from your performance in the tasks (i.e., what do you think the researchers predicted)? If this did not change, you can leave this question unanswered.","Having completed the questionnaire on the previous page, what do you think the researchers were testing for (i.e., what was the ""point"" of the study)? If this did not change, you can leave this question unanswered.","Quality data is a very important part of our attempt to answer our research questions. Did you try your best to focus on the tasks and adhere to instructions throughout the study? (Note: You will not lose credit or receive judgment for saying no, and you can refuse to answer without penalty. The researcher will not examine these responses until a later date, and they will not be associated with your identity.)"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID16_2""}","{""ImportId"":""QID16_3""}","{""ImportId"":""QID16_4""}","{""ImportId"":""QID16_5""}","{""ImportId"":""QID16_6""}","{""ImportId"":""QID16_7""}","{""ImportId"":""QID16_8""}","{""ImportId"":""QID16_9""}","{""ImportId"":""QID16_10""}","{""ImportId"":""QID16_11""}","{""ImportId"":""QID16_12""}","{""ImportId"":""QID16_13""}","{""ImportId"":""QID16_14""}","{""ImportId"":""QID16_15""}","{""ImportId"":""QID16_16""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID17_2""}","{""ImportId"":""QID17_3""}","{""ImportId"":""QID17_4""}","{""ImportId"":""QID17_5""}","{""ImportId"":""QID17_6""}","{""ImportId"":""QID17_7""}","{""ImportId"":""QID17_8""}","{""ImportId"":""QID17_9""}","{""ImportId"":""QID17_10""}","{""ImportId"":""QID17_11""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""QID15""}"
2022-05-10 19:44:29,2022-05-10 19:45:11,1,,100,42,1,2022-05-10 19:45:12,R_6mvdwI9ng3fyTM5,,,,,47.4902,-122.3004,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-06 10:13:31,2023-02-06 12:35:26,0,128.193.154.24,100,8514,1,2023-02-06 12:35:26,R_29n7JvKO9Fg4tzk,,,,,44.5632,-123.28,anonymous,EN,28,Cisgender woman,1,,,I think they thought my perception of my arm would change after using a tool,"How tools impact our perception ",The grab task was quite physically demanding on my wrist and hand,1,4,1,1,2,1,1,1,4,1,6,6,6,1,6,7,1,1,2,1,1,1,1,1,6,1,1,,,2
2023-02-10 09:52:41,2023-02-14 13:33:06,0,128.193.154.24,100,358824,1,2023-02-14 13:33:06,R_2XmNJmihB3a17H8,,,,,44.5632,-123.28,anonymous,EN,52,Male,2,"With the grasping tool, I found I was not grabbing the block squarely for the first few times.  By turning my wrist a bit more to come at the block straight on, I felt i was more successful in grabbing the object.",I think I tended to slow down to make sure I was correctly grabbing the block,"I would imagine at least two different expectations. One, that the perception of one’s arm in VR mimics the actual location of it; and two, that the performance would be improved with repetition.","My guess is that, even with incredibly accurate tracking of body location, there may still be differences in VR eye-body coordination vs physical world.  I would think that the accuracy and pace whereby one completes tasks will be a measure of this difference.","Without question, the grabber tool.  Having to manage depth perception with a tool rather than my hand itself was much more challenging.   I also felt that my perception of where my wrist, elbow, and forearm were without the visual cue were pretty variable",3,4,3,2,5,3,3,5,3,5,6,6,7,4,3,3,3,2,5,2,3,3,2,2,6,4,2,Now I’m thinking that the study was more focused toward prosthetic use and that the researchers were expecting that within the VR environment the distinction between tool and physical body part would become blurred.,"Within very high fidelity VR environments, tools in the physical environment could potentially feel as if they are part of the subject’s body",2
2023-02-14 13:58:20,2023-02-14 15:17:52,0,128.193.154.24,100,4772,1,2023-02-14 15:17:52,R_3lXgyBsLsxrCPz5,,,,,44.5632,-123.28,anonymous,EN,28,Female,1,,"Not that i noticed, except I adjusted my arm to make it easier to grab the item with the grabber as my arm got more tired.","That my time to complete the trials would get better, and I wouldn’t knock the items down as much. And that maybe I would have a better sense of where my elbow and wrist and forearm were after the grabber trial since they hurt, I could feel them.","Ability to perceive self motion and where parts of our body are when we can’t see them. ",The grabber. My arm is literally shaking.,6,2,4,6,6,6,6,6,6,6,6,6,5,6,6,4,2,2,2,2,6,2,2,4,2,2,2,,To see whether the virtual tool could act as an extension of the virtual arm and elicit sensation in your real arm.,2
2023-02-15 10:58:46,2023-02-15 12:23:38,0,128.193.154.24,100,5091,1,2023-02-15 12:23:38,R_1IivXOUn9e5igC7,,,,,44.5928,-123.2746,anonymous,EN,47,M,1,,I don’t think so,Improvement over time,Improve accuracy of vr equipment,Grabber part. Became taxing over time,3,3,5,3,5,4,5,5,5,5,4,5,5,5,5,5,4,3,3,3,3,3,3,3,5,5,3,Sence  of self effected by vr percrption,,2
2023-02-15 15:16:28,2023-02-15 16:59:48,0,128.193.154.24,100,6200,1,2023-02-15 16:59:49,R_3VqusiwPmRH74n7,,,,,44.5928,-123.2746,anonymous,EN,21,Female,2,"I made visual notes of where parts of my arm were and click the circular pad when they fell into the area. 
For the part of the study when I was tasked with picking up the block with the clamp, I attempted to clamp different parts of the block to pick it up more efficiently. I found that clamping in the high center of the block allowed me to swiftly and more accurately raise and place the block in its respective squares.",I replicated strategies when performing the same tasks again.,"I think the researchers may have predicted that the equipment would help virtual reality calibrate/accurately represent the range of motion of the right arm. ","The point of the study might be to develop programming that accurately depicts the range of motion of an appendage, in this case the focus was on the right arm.","I found the clamp part of the experiment most challenging because a quarter way into the challenge, the inside of my palm grew sore from gripping the clamp on and off again.",2,4,2,2,2,2,2,3,3,2,7,6,6,2,5,2,2,2,2,6,2,2,3,2,6,2,4,"I think the researchers may have expected to see the participant start to associate physical sense with the actions of the virtual arm. ","I now think that the researchers were testing for a mental change in distinction of the participants own bodily senses. ",2
2023-02-16 10:19:25,2023-02-16 11:42:50,0,128.193.154.24,100,5005,1,2023-02-16 11:42:51,R_1lt3AIejo1zDGOU,,,,,44.5928,-123.2746,anonymous,EN,29,Female,1,,,The gloves would mimic actual grasping of objects in VR,Whether we can grasp things things accuracy in VR,"Tool use block to grasp block. It was very fatiguing for my hand and forearm. ",2,2,5,2,5,2,2,7,5,6,7,7,7,4,7,3,2,2,6,6,6,1,1,3,3,5,1,"That participants would feel like their arm and the avatar arm were one and the same, and that the tool would also them feel like the real arm.","To see if participants felt like the tool was an extension of their own body ",2
2023-02-16 12:56:40,2023-02-19 16:48:32,0,128.193.154.24,100,273111,1,2023-02-19 16:48:32,R_3EikJ7J6Dd1BWDb,,,,,44.5928,-123.2746,anonymous,EN,20,Woman,1,,,Slightly slow and inaccurate responses in the beginning and then more faster accurate movements later on,Accuracy and coordination in vr setting,"The trial with the grippers, because it made my hand tired fast and it had the longest amount of trials. ",4,5,5,5,4,4,5,6,5,5,6,6,7,6,6,7,2,2,6,6,6,2,6,5,6,6,2,"Maybe after doing the exercise with the tool, there would be a decline in speed and accuracy of movement. ","To see if after doing a challenging exercise, the tool, would affect the ability to use an arm and the accuracy of moving items. ",2
2023-02-20 10:20:58,2023-02-20 16:58:46,0,128.193.154.24,100,23868,1,2023-02-20 16:58:46,R_2fm388IYFbR91ss,,,,,44.5928,-123.2746,anonymous,EN,37,Female,1,,No,Hand eye coordination in virtual reality and how well we did the tasks,"Hand eye coordination in virtual reality ","Using the grasp tool accurately ",4,5,5,5,4,1,3,6,6,4,6,6,5,4,6,4,3,3,4,3,4,4,2,4,6,4,2,"If it felt like the virtual reality felt like the real world and you would feel the avatar was your real body ",If virtual reality would feel like the real world,2
2023-02-21 10:29:31,2023-02-21 16:32:10,0,128.193.154.24,100,21759,1,2023-02-21 16:32:10,R_0cvUdXzLwgr1iNP,,,,,44.5928,-123.2746,anonymous,EN,21,Female,1,,,"Over time I would improve in accuracy ",To see how we move in space and how accurate our movements can be/are,The grabber tool was difficult because of the amount of grip strength it required and how many times I had to do it,,3,3,3,3,1,2,6,3,5,5,5,4,7,5,5,1,1,1,1,2,1,1,1,3,1,1,,"Maybe to see how in VR, we may feel connected to whatever we are seeing. In this case it might be we feel connected to a tool. ",2
2023-02-22 11:20:27,2023-02-22 11:33:13,0,128.193.154.24,100,766,1,2023-02-22 11:33:14,R_2s6jGBqk1FN6kTl,,,,,44.5928,-123.2746,anonymous,EN,21,Male,1,,I made sure to grab the cube with the grabber towards the far ends of the sides so that the cube rotates into the arm instead of falling out,I would be able to perceive my invisible wrist forearm and shoulder better over time in VR or get quicker at moving objects,To see if I can use a virtual hand effectively like my real life hand,Using the grabber was difficult at first since it would fall out of grip sometimes,5,5,4,5,3,5,3,6,3,3,3,5,4,5,5,3,4,3,3,5,4,3,3,3,4,4,3,How naturally I could use the tool in Vr,To see if using tools or other objects in addition to hands and arms could be felt like a substitute for our own arms in vr,2
2023-02-24 14:02:13,2023-02-24 17:39:29,0,128.193.154.24,100,13035,1,2023-02-24 17:39:29,R_2aeRHCjDErJHDZ8,,,,,44.5928,-123.2746,anonymous,EN,24,Male,1,,No,That the perception of body parts while in VR would either improve or get worse over time in the VR headset,Perception of body part location while wearing a VR headset and how that can change with duration of time wearing the headset,"Locating the sphere along my arm was difficult. It was hard to gauge exactly where my wrist, forearm, and shoulder were without any frame of reference",3,4,4,5,5,5,4,6,6,6,7,6,6,6,6,5,4,2,2,2,4,1,2,3,5,2,2,I think the researchers were expecting to see spatial perception change with the use of a tool,"In addition to my previous response, I think the researchers were also looking to see how the inclusion or use of a tool external to the body impacts spatial perception while wearing a VR headset",2
2023-02-25 12:58:30,2023-02-25 14:28:19,0,128.193.154.24,100,5388,1,2023-02-25 14:28:19,R_1IWp19PvvhWj9sf,,,,,44.5928,-123.2746,anonymous,EN,23,M,1,,No,"I believe the researcher try to let me think my arm is longer after using the tool grab the cube ",Testing how our brain cognition the location of our body part,"Using tool to grab the cube, 48 times make me tired ",3,6,6,6,4,6,4,5,6,5,6,6,5,5,5,4,4,4,6,5,3,3,3,7,4,5,2,Trying to let me think the tool is part of my arm.,"Can VR let our brain to create a phantom limb after using the tool do same action as our real arm ",1
2023-02-25 14:59:35,2023-02-25 16:50:59,0,128.193.154.24,100,6684,1,2023-02-25 16:51:00,R_3MAv6AoCOq1alSl,,,,,44.5928,-123.2746,anonymous,EN,20,Female,1,,,To see the difference in movement and accuracy between grabbing something with your actual hand versus a prosthetic one.,To see how people perceive their hands and arms maybe? I’m not quite sure.,Using the grabber tool since it fatigued my wrist and was a bit more difficult to gauge distances with it compared to my hand.,2,6,3,5,5,5,2,6,6,5,6,6,6,6,6,5,1,5,6,7,1,2,1,6,6,5,2,How using the tool changed my accuracy of using my hand to grab things.,How using a prosthetic tool changed my perception and accuracy of my hand.,2
2023-02-26 12:53:22,2023-02-26 13:04:16,0,128.193.154.24,100,654,1,2023-02-26 13:04:17,R_21h07VVNoLiGf6Q,,,,,44.5928,-123.2746,anonymous,EN,27,Female,1,,,That I would see my arm as longer after using the pincher tool,Do we incorporate tools into our mental image of our body ie an extension of ourselves,The gripper tool because my forearm became sore fairly early on,,4,,5,5,6,5,7,5,4,5,6,5,5,6,5,5,4,7,4,6,5,5,6,5,6,4,,,2
2023-02-28 12:55:35,2023-02-28 14:16:21,0,128.193.154.24,100,4845,1,2023-02-28 14:16:22,R_2e22RJVmSuDHbjG,,,,,44.5928,-123.2746,anonymous,EN,18,Female,1,,,I think they were expecting to see the movements slow down in the later tasks,To characterize movement,The part with the grabbers because my hand and forearm were quite fatigued by the end from all the repetitive gripping,3,3,3,2,5,2,1,4,3,2,6,5,5,4,5,3,3,2,3,5,4,1,2,4,5,5,2,They were expecting to see greater coordination or synchronization in your real arm and virtual arm,To see if/how virtual reality effected movement,2
2023-02-28 16:56:22,2023-02-28 18:29:13,0,128.193.154.24,100,5570,1,2023-02-28 18:29:13,R_1FwCQWYd52bbOxh,,,,,44.5928,-123.2746,anonymous,EN,18,Female,1,,N/A,They were predicting that I would be able to complete the tasks similarly to real life.,The point of the study was to see how we use our eye movement and body coordination to complete the tasks in VR.,The part with the grabber tool was most challenging.,5,4,6,6,6,4,4,6,6,6,6,,4,6,6,6,4,5,5,6,5,6,6,6,6,6,5,,,2
2023-03-01 12:46:07,2023-03-01 12:55:59,0,128.193.154.24,100,591,1,2023-03-01 12:56:00,R_3p8VcT0kfCslk8K,,,,,44.5928,-123.2746,anonymous,EN,19,Female ?,1,,,I think the researchers predicted that the performance of accuracy would increase when hand fatigue increased.,The relationship between sensations of pain and perception?,The grabbing part; I could feel my hand get tired but I was too stubborn to take a break.,2,4,7,4,4,2,3,7,7,6,6,6,7,5,7,4,2,3,6,2,4,2,2,5,4,5,2,,,2
2023-03-01 18:32:55,2023-03-01 18:46:16,0,128.193.154.24,100,801,1,2023-03-01 18:46:17,R_2X5KWrPhdLr65HQ,,,,,44.5928,-123.2746,anonymous,EN,19,Male,2,I mostly replied on audio cues so during tests I could close my eyes and prevent a headache.,"I didn’t use this strategy on the one where visuals were important cues, but for the other tasks I barely changed it.",Maybe the changes in speed or if I noticed other things in the room that were out of the ordinary.,Movement? Maybe the completion of repetitive tasks?,I found the part when the grabber was used most challenging purely because it made my thumb hurt half way through.,5,4,6,3,2,2,2,3,2,2,3,6,6,4,6,5,2,2,2,2,2,2,2,3,6,2,2,,,2
2023-03-02 10:48:29,2023-03-02 12:20:08,0,128.193.154.24,100,5498,1,2023-03-02 12:20:08,R_2wpdYONYxsSrJUi,,,,,44.5928,-123.2746,anonymous,EN,22,Non-binary,1,,I felt like after doing the third task the fourth one was easier cause I was more aware of my elbow,I think the researchers predicted that the more someone uses hand coordination the better their perception will be.,Looking at perception and hand eye coordination based on physical activities that require it,The 3rd trial because it was tiring to get a good grip for 48 trials,3,3,5,4,5,2,3,5,5,6,5,6,5,3,6,6,2,5,5,6,5,2,5,5,3,6,2,,Looking at whether VR can be an extension of the limb,2
2023-03-02 15:47:44,2023-03-02 16:00:30,0,128.193.154.109,100,765,1,2023-03-02 16:00:30,R_2R4XkmQG6ZMcVvI,,,,,44.5928,-123.2746,anonymous,EN,21,Male,1,,,I think they expected to see a loss of coordination as tracking can only go so far compared to your nervous system and eyes.,I think you all were testing hand eye coordination and how it is effected in regards to be able to actually see your hands versus a computer generation.,I found the part where I had to pickup and set down the block with the handi-grabber 48 times to be the most challenging.,2,6,2,2,2,2,2,5,5,6,6,6,6,5,6,6,2,2,3,2,5,3,2,2,6,2,2,I think the researchers expected me to develop a connection with the tool as a part of me.,I think the researchers were testing to see if vr can change the way a part of your body feels when repeatedly doing a task.,2
2023-03-03 11:57:38,2023-03-03 12:11:48,0,128.193.154.109,100,849,1,2023-03-03 12:11:48,R_r9BneKpz3kaasFj,,,,,44.5632,-123.28,anonymous,EN,20,Female,1,,No,How our virtual reality perception matches with our regular perception,"To see how video games have altered an individual’s perception, for worse or better",The set of 48 trials with the grabber because I am left handed and my right hand felt more fatigued due it being less used on regular basis,2,2,5,3,5,2,3,6,5,3,6,5,5,4,5,3,2,1,2,2,3,1,2,3,5,2,1,I think they predicted that using virtual reality tools can make someone believe they are the virtual reality avatar,"I think they were testing for a connection individuals felt with the virtual reality simulation ",2
2023-03-03 12:31:05,2023-03-03 14:03:56,0,128.193.154.109,100,5571,1,2023-03-03 14:03:56,R_6EXLMfwAXrJpaNj,,,,,44.5632,-123.28,anonymous,EN,23,Non binary,2,"Would keep my head still so I could hopefully remember the exact points where I felt my wrist/forearm/elbow. Also, zoning out a bit and relaxing to the monotony of the tasks helped.",N/a,"See results that didn’t vary, had same expectations between trials.",Perhaps they were looking to regard how accurate the mind is at knowing where your body is in a virtual space,"The grabby tool guy, it was a lot of strain on the arm by the end of it",2,6,5,2,2,1,4,6,1,2,6,6,2,2,6,2,5,2,2,5,2,5,2,5,2,4,5,Attempting to see how using tools impacts how a person regards there own body in virtual space,"The point of the study was possibly to study how a person feels their body in virtual space ",2
2023-03-03 16:14:30,2023-03-03 16:32:41,0,128.193.154.109,100,1090,1,2023-03-03 16:32:41,R_28AknfsjlITktXj,,,,,44.5632,-123.28,anonymous,EN,21,Female,2,"Not sure if this qualifies but during the grab-thing block touch stuff, the idea was to keep aiming for the top of the block since handling it there was the most solid. And for the guessing placement trials, I kept trying to feel the parts of my arm that were being called.",I had to modify the first strategy a lot because my arm plus the grab thing was awkward.,Average results.,"Human perception in VR because, in our world, it is easy to gage problems or difference with us physically sensing it out. But in VR, it’s like you’re given a set of senses to control. Working through it but kinda unattached.",The one that included the grabber. The biggest challenge wasn’t the number or trials but the angle I had to keep the pincher at to accomplish everything,5,6,5,6,5,2,1,7,4,1,7,5,7,4,5,2,2,5,7,1,5,3,2,3,4,5,1,That I would have a somewhat lower efficiency to things. Primarily because VR isn’t readily available at every household,"To understand the accuracy, precision, and the amount of time it would take for us to accomplish a task without actually using all of our senses to be present.",2
2023-03-03 17:42:42,2023-03-03 17:54:06,0,128.193.154.109,100,683,1,2023-03-03 17:54:06,R_1o6DAJZ5p6V0egM,,,,,44.5632,-123.28,anonymous,EN,26,Male,1,,,Eye placement in regards to hand movement,Proprioception without true sight,"Hand gripper tool, was tiresome",1,2,1,1,2,1,1,4,2,2,2,3,5,4,4,3,3,3,1,5,5,1,1,5,6,5,1,Ability to use tools without true sight,Outside of touch propriception,2
