ppid,trial_num_in_block,time,block_num,vel_m_filt,vel_lat_filt,acc_m_filtfilt,dec_m_filtfilt,acc_lat_filtfilt,dec_lat_filtfilt,order
d1-001,1,post,4,887.6576716769944,NA,NA,-2752.028525320653,NA,NA,first
d1-001,1,pre,2,756.1342818172473,NA,NA,-2444.8724156310245,NA,NA,pre
d1-001,2,post,4,799.8144377416431,NA,NA,-2106.2051563382065,NA,NA,first
d1-001,2,pre,2,838.5127859020992,NA,NA,-1893.8208989552804,NA,NA,pre
d1-001,3,post,4,865.8809409659241,NA,NA,-2315.2767361955666,NA,NA,first
d1-001,3,pre,2,656.984183839689,NA,NA,-1830.7358079076005,NA,NA,pre
d1-001,4,post,4,771.8366923590563,NA,NA,-2248.642221356504,NA,NA,first
d1-001,4,pre,2,704.356520949613,NA,NA,-1618.9670298036135,NA,NA,pre
d1-001,5,post,4,896.9883415646028,NA,NA,-3147.8925225069993,NA,NA,first
d1-001,5,pre,2,653.0212156815395,NA,NA,-1577.1099073774221,NA,NA,pre
d1-001,6,post,4,761.5344796543706,NA,NA,-2113.957177849773,NA,NA,first
d1-001,6,pre,2,747.6188404237648,NA,NA,-1986.4245518294115,NA,NA,pre
d1-001,7,post,4,787.1409939050518,NA,NA,-2583.9163162109626,NA,NA,first
d1-001,7,pre,2,700.1954730322891,NA,NA,-2035.4446062163993,NA,NA,pre
d1-001,8,post,4,806.5320398906955,NA,NA,-2233.439248388101,NA,NA,first
d1-001,8,pre,2,832.2348438413433,NA,NA,-1981.5582888771398,NA,NA,pre
d1-001,9,post,4,796.3980280250278,NA,NA,-2744.351706485527,NA,NA,first
d1-001,9,pre,2,755.2298809202294,NA,NA,-1951.5606465706237,NA,NA,pre
d1-001,10,post,4,811.3671992908127,NA,NA,-3028.1425280486246,NA,NA,first
d1-001,10,pre,2,842.3123893128442,NA,NA,-2461.0232665487483,NA,NA,pre
d1-001,11,post,4,740.7598866260194,NA,NA,-1659.8747552010686,NA,NA,first
d1-001,11,pre,2,895.8705888253745,NA,NA,-3316.283285564049,NA,NA,pre
d1-001,12,post,4,760.6123442234492,NA,NA,-1665.9593032990965,NA,NA,first
d1-001,12,pre,2,795.2443885129474,NA,NA,-2587.638504271938,NA,NA,pre
d1-001,13,post,4,820.1869754330135,NA,NA,-2249.2150363927485,NA,NA,first
d1-001,13,pre,2,828.3414953128477,NA,NA,-2465.716650001668,NA,NA,pre
d1-001,14,post,4,640.3496434169224,NA,NA,-1663.4840144773289,NA,NA,first
d1-001,14,pre,2,939.7798428606734,NA,NA,-3198.8975192581183,NA,NA,pre
d1-001,15,post,4,621.5666813827671,NA,NA,-1755.6364933282498,NA,NA,first
d1-001,15,pre,2,847.5285930688083,NA,NA,-2634.5625504551363,NA,NA,pre
d1-001,16,post,4,783.9772234013251,NA,NA,-1993.3893548051785,NA,NA,first
d1-001,16,pre,2,866.1984217187152,NA,NA,-2627.205439139708,NA,NA,pre
d1-001,17,post,4,619.7155849194442,NA,NA,-3548.7412245687274,NA,NA,first
d1-001,17,pre,2,781.0575659405667,NA,NA,-2570.023284264038,NA,NA,pre
d1-001,18,post,4,742.3233192848089,NA,NA,-1845.291211691067,NA,NA,first
d1-001,18,pre,2,793.2590508313397,NA,NA,-1913.6486846737125,NA,NA,pre
d1-002,1,post,4,990.8088110546798,265,4354.2755260740005,-3865.382092178536,150,405,first
d1-002,1,pre,2,868.7361690142984,295,3988.0325748327828,-2640.6712790900538,110,465,pre
d1-002,2,post,4,1213.391806652076,270,6236.99501396706,-4774.734507606361,140,395,first
d1-002,2,pre,2,1169.6694861732217,235,6878.684754734023,-4420.262213285747,95,405,pre
d1-002,3,post,4,1129.897850492831,285,5991.922897270386,-4843.576934427304,110,425,first
d1-002,3,pre,2,1009.1358048776768,300,4456.43934895594,-3609.2205242600085,120,515,pre
d1-002,4,post,4,1121.8997357976398,280,5298.551140784411,-4997.044344887465,150,425,first
d1-002,4,pre,2,823.4349004083463,435,2887.141497303577,-3193.760111418249,100,545,pre
d1-002,5,post,4,1043.1875491433734,270,5334.227087383267,-5037.677586840591,115,450,first
d1-002,5,pre,2,1116.6878180716242,345,4672.480573459665,-4159.526209329657,175,465,pre
d1-002,6,post,4,1080.7284450722564,285,5878.437819418261,-4139.979252451687,165,350,first
d1-002,6,pre,2,1246.4773708856214,360,5767.338264561749,-6885.973583975374,170,440,pre
d1-002,7,post,4,1256.7490239049937,280,6837.193451097977,-5221.789658928812,120,415,first
d1-002,7,pre,2,1112.5192609126711,275,5218.623506073473,-3821.354843976427,130,570,pre
d1-002,8,post,4,1174.3200298999468,315,5973.8824797691705,-5625.768306637237,160,425,first
d1-002,8,pre,2,1123.6540413919522,447,4559.102862325237,-5892.021642743076,247,547,pre
d1-002,9,post,4,1135.901426794957,280,5644.0718713794195,-5296.606071656359,145,450,first
d1-002,9,pre,2,1131.1167682782177,295,5409.15274720545,-5122.952546727157,125,440,pre
d1-002,10,post,4,1037.702282451562,360,5168.725697652965,-3853.6927943557957,205,545,first
d1-002,10,pre,2,1105.774187322355,295,5216.660693665766,-5507.2467724029275,155,530,pre
d1-002,11,post,4,1122.5682799938863,280,5496.138965054057,-4681.435590776897,110,405,first
d1-002,11,pre,2,1152.812944444899,290,6191.859410519644,-4044.5898288648377,110,490,pre
d1-002,12,post,4,1115.4746655184763,255,5574.497326857754,-4701.998404383053,115,400,first
d1-002,12,pre,2,1166.1806014404938,285,5206.299724787571,-4534.360285931254,165,400,pre
d1-002,13,post,4,1262.3938908725252,275,6479.505671717045,-5200.592842549944,205,490,first
d1-002,13,pre,2,1225.1239766283607,310,5569.522992635884,-6987.433948079486,105,445,pre
d1-002,14,post,4,987.6671771597854,340,4220.174914504847,-3599.161207493547,175,405,first
d1-002,14,pre,2,1238.888259254896,315,5748.167532886437,-5779.4625489024875,135,435,pre
d1-002,15,post,4,915.5224564492081,320,4292.9974797799805,-2917.9227249410324,105,575,first
d1-002,15,pre,2,1175.8751887428773,275,6144.924847893713,-4084.6223242169085,160,440,pre
d1-002,16,post,4,1098.6900619745268,285,5334.402791500637,-4835.643362747598,160,370,first
d1-002,16,pre,2,1154.7119628510945,290,5692.372715981637,-4601.355931681269,130,385,pre
d1-002,17,post,4,1252.2838486860774,275,5792.7936795525075,-5206.154827955755,130,350,first
d1-002,17,pre,2,1110.0634171180304,315,4811.972569020696,-4403.906924608404,145,570,pre
d1-002,18,post,4,1185.3724185235383,310,5680.0842157940315,-5002.297309966461,120,430,first
d1-002,18,pre,2,1433.0589978147395,295,8284.173270437186,-8616.497587273341,110,390,pre
d1-003,1,post,4,825.1753893139264,445,4429.56636630724,-2155.565818050622,130,555,first
d1-003,1,pre,1,840.0811214733419,180,8701.080060689146,-2243.8333853310696,115,710,pre
d1-003,2,post,4,862.7541969338604,405,4533.745054956303,-2694.949442589805,70,750,first
d1-003,2,pre,1,903.8451531899871,340,4380.876096523928,-2416.5154446450783,120,455,pre
d1-003,3,post,4,969.388897947787,435,6257.891382421649,-3738.456672471579,70,510,first
d1-003,3,pre,1,735.3058353523832,375,3499.2739031988244,-1678.9434671323152,70,645,pre
d1-003,4,post,4,920.4950915844944,340,6640.494735102833,-3003.858508816682,105,555,first
d1-003,4,pre,1,960.8653306398592,415,4193.681844464545,-3039.989018685338,240,620,pre
d1-003,5,post,4,952.1926499252332,210,6701.4884217819135,-2551.9346234473473,85,710,first
d1-003,5,pre,1,920.803401040304,355,4938.243115733043,-3207.3328077189303,170,660,pre
d1-003,6,post,4,812.9294102138554,520,4359.389171296853,-1812.5239025140277,145,770,first
d1-003,6,pre,1,851.9602310055022,460,4043.653828805175,-2711.2964264207967,135,670,pre
d1-003,7,post,4,902.5263232696288,635,3879.498517898276,-2658.1808875003917,370,805,first
d1-003,7,pre,1,1045.830967305044,180,7731.612961912092,-3017.5918691508405,105,565,pre
d1-003,8,post,4,926.6633797150702,405.9,4701.824353896695,-2967.4054357821374,123.95,602.3,first
d1-003,8,pre,1,876.0577627699947,525,3013.0463959920676,-2359.9306029161935,130,620,pre
d1-003,9,post,4,936.054562653113,360.48,5076.628884624803,-3043.6995273451193,109.2,595.9,first
d1-003,9,pre,1,954.4421507083472,275,4548.152931859426,-3074.0498691547987,75,625,pre
d1-003,10,post,4,897.6449697133878,425,4079.742133134905,-2537.5673600816626,85,690,first
d1-003,10,pre,1,953.4596018925091,440,6269.359140433332,-2995.1309461837063,110,530,pre
d1-003,11,post,4,901.428294951417,515,5372.386084212197,-2467.1888169167473,170,805,first
d1-003,11,pre,1,897.3753883198945,190,7042.065939098175,-2529.8414124734486,90,645,pre
d1-003,12,post,4,981.9709361350393,400,4747.878366058932,-2607.0760116475076,125,505,first
d1-003,12,pre,1,888.6695214603549,500,4094.926544839629,-3315.0726015339815,110,605,pre
d1-003,13,post,4,1026.6401554254649,200,6889.627612193282,-2393.6532682066354,95,620,first
d1-003,13,pre,1,970.3068742349366,450,3887.789449412979,-2837.562973126094,105,675,pre
d1-003,14,post,4,950.7016462199604,480,5406.777643909954,-3782.871203652261,85,620,first
d1-003,14,pre,1,941.6590236383632,320,5012.228130977593,-2572.817211866024,140,640,pre
d1-003,15,post,4,1032.5393786409904,500,6957.771659712431,-3352.81886768609,120,685,first
d1-003,15,pre,1,902.9298024783535,425,3892.469737867279,-3046.7810249603717,115,690,pre
d1-003,16,post,4,937.928986172986,485,5893.45533701425,-3448.507743463524,130,620,first
d1-003,16,pre,1,1095.7603271996231,245,6348.0331970690495,-4281.685875384105,140,690,pre
d1-003,17,post,4,884.5690590162501,415,4727.261845465906,-2507.8696997003944,80,560,first
d1-003,17,pre,1,951.6572190063725,390,6574.9933282327675,-3699.960292279607,90,545,pre
d1-003,18,post,4,891.2935009862194,460,3568.6975635042286,-3041.016318065103,160,705,first
d1-003,18,pre,1,866.7842465974145,450,5280.295733250361,-3843.191466926885,135,880,pre
d1-004,1,post,5,983.7590845812942,425,3123.7303945287213,-6443.264902563785,275,740,second
d1-004,1,pre,1,751.9325245288641,180,5409.560033442704,-5388.626377774828,120,505,pre
d1-004,2,post,5,1067.5956532772375,410,4000.899349154588,-3165.547455028017,70,480,second
d1-004,2,pre,1,980.511382262767,395,3847.8029560947616,-3663.080866160009,245,835,pre
d1-004,3,post,5,1192.4972333267374,340,5332.010028082948,-5264.138417725475,80,725,second
d1-004,3,pre,1,875.3253410730047,275,5090.48883318504,-3026.466546435015,135,765,pre
d1-004,4,post,5,1225.6061148382662,340,5773.031314384314,-3384.825579973582,200,465,second
d1-004,4,pre,1,875.6544102849325,350,4838.494437091951,-2617.870859245487,175,685,pre
d1-004,5,post,5,1335.4674981179585,340,6742.357747698823,-5752.729755516008,85,640,second
d1-004,5,pre,1,1086.9799587946902,720,3884.290536373865,-3888.2526554257925,590,885,pre
d1-004,6,post,5,1280.7062840427784,360,8039.931878345092,-7083.673483109969,95,520,second
d1-004,6,pre,1,852.3658208506729,425,2597.558527640806,-2895.2848065319367,210,875,pre
d1-004,7,post,5,1285.802478597946,335,6337.201964044605,-6456.8220744779555,80,565,second
d1-004,7,pre,1,985.5343103743248,275,4761.206620628191,-2379.341283892223,80,555,pre
d1-004,8,post,5,1399.7967562509393,355,6866.613597747989,-6691.243533356348,105,460,second
d1-004,8,pre,1,852.775844781217,390,4609.7310169106,-3798.3959409096815,90,685,pre
d1-004,9,post,5,1171.9778557871548,410,5913.805266351443,-4796.298403342042,75,630,second
d1-004,9,pre,1,986.9890128027155,345,5424.807255608414,-3300.8406450475077,65,820,pre
d1-004,10,post,5,1199.7688550247735,360,5191.421543677923,-4547.083193789088,75,640,second
d1-004,10,pre,1,1144.275185141992,325,7383.516929412408,-5201.602043038873,125,555,pre
d1-004,11,post,5,1233.79777477314,400,4470.919292004844,-3754.503654950704,90,555,second
d1-004,11,pre,1,1165.3326181372004,360,5376.691847428704,-4146.348727295587,65,695,pre
d1-004,12,post,5,1170.7668333747624,390,4211.431092600275,-3619.6101679872536,120,650,second
d1-004,12,pre,1,1223.1454484351498,300,6196.337327483336,-3951.4967325845764,95,450,pre
d1-004,13,post,5,1084.685295437505,325,4570.362295235205,-4080.1796883931233,160,575,second
d1-004,13,pre,1,1028.1768972335103,290,6843.89832084222,-4166.614090104384,65,655,pre
d1-004,14,post,5,1083.2138601878905,425,4413.315441904617,-4021.3186046635465,240,525,second
d1-004,14,pre,1,1058.1094956402667,425,5102.216795676643,-4478.794517193059,165,790,pre
d1-004,15,post,5,1148.9590538596474,460,4117.066201880349,-4681.367820116659,350,620,second
d1-004,15,pre,1,1219.8900337235946,330,6718.969311705427,-5822.658114110258,70,530,pre
d1-004,16,post,5,1105.0725113913572,325,5882.787592389991,-3348.4492918682663,215,485,second
d1-004,16,pre,1,1103.598743642897,270,5590.969222148744,-5849.250888646629,120,690,pre
d1-004,17,post,5,1296.2172861215677,280,6706.3441833192755,-5262.0788223664895,180,460,second
d1-004,17,pre,1,1087.8507668076118,285,6061.860523301477,-7175.341607582937,110,680,pre
d1-004,18,post,5,1263.1345410808794,330,6001.0760616623675,-6858.179481657529,235,520,second
d1-004,18,pre,1,1132.6267145909899,355,4961.096387953832,-3646.013083435706,145,505,pre
d1-005,1,post,5,769.0180179961003,305,3215.821077243706,-2300.191932824592,70,555,second
d1-005,1,pre,2,672.850432321455,270,4706.225521762378,-1341.2954351843216,90,430,pre
d1-005,2,post,5,891.1509019331372,325,3741.683891209594,-2648.3647685302944,145,505,second
d1-005,2,pre,2,835.1337678953942,385,3338.298608295434,-3319.209034912665,55,535,pre
d1-005,3,post,5,833.2863159477827,355,3748.5229500089886,-4929.888088867248,75,510,second
d1-005,3,pre,2,798.5882488078654,340,3714.128837512566,-2165.108367466828,60,470,pre
d1-005,4,post,5,854.5625635717578,300,3672.3570335431546,-2341.8237319840546,60,565,second
d1-005,4,pre,2,826.8048666366317,430,4288.446180296164,-2766.3691198749057,80,600,pre
d1-005,5,post,5,852.0853297440738,345,3688.230646060898,-2726.8384851863225,75,495,second
d1-005,5,pre,2,964.4052311809634,345,3626.3411790995515,-3868.0728391651596,220,490,pre
d1-005,6,post,5,891.2334830960781,390,3874.5030460217395,-3404.069401153098,55,590,second
d1-005,6,pre,2,869.7442059076666,325,3752.0256056927274,-3231.1358980275136,70,505,pre
d1-005,7,post,5,859.8492436519394,455,3817.3952593418276,-2834.273109233067,215,550,second
d1-005,7,pre,2,947.6069945248112,260,5588.436401417926,-2924.976209830853,80,405,pre
d1-005,8,post,5,833.0228003904549,310,4082.1309874098642,-3048.7828893684464,60,475,second
d1-005,8,pre,2,851.4562601046982,395,3601.198823951908,-2838.500029423185,80,570,pre
d1-005,9,post,5,909.9423842354548,355,3561.043070875452,-2979.00991411631,240,590,second
d1-005,9,pre,2,859.3096599559875,320,3605.398098337503,-3284.580307938427,110,685,pre
d1-005,10,post,5,844.9597030099515,315,3014.498747424372,-3419.7331190407263,145,545,second
d1-005,10,pre,2,834.8304366839277,335,4100.707512753747,-3027.2508760525934,85,520,pre
d1-005,11,post,5,816.3737764452987,380,2771.9376836400097,-3595.649021541829,50,535,second
d1-005,11,pre,2,846.2044755757415,365,3730.001466364524,-2571.6052897072427,65,740,pre
d1-005,12,post,5,835.3267879580335,340,3315.210943009406,-2577.297417915554,55,585,second
d1-005,12,pre,2,873.7313248028026,375,3717.283641475822,-2728.4130017176685,115,520,pre
d1-005,13,post,5,1076.6162533237648,295,4592.08421856167,-3233.9553107666025,125,420,second
d1-005,13,pre,2,832.4371289732958,305,3691.312462250482,-2611.6140461030154,50,555,pre
d1-005,14,post,5,847.4092868473581,325,3262.0404561369223,-2756.6610429193724,170,480,second
d1-005,14,pre,2,877.2420130409666,355,5635.627030765036,-2827.869140778253,75,560,pre
d1-005,15,post,5,910.5194945769869,410,3597.6379446181154,-2753.1415878316284,205,590,second
d1-005,15,pre,2,972.3596772173162,305,3647.444430128326,-3267.9195216914436,60,475,pre
d1-005,16,post,5,808.7145085845164,370,3847.8149729055704,-2493.0848458112446,50,580,second
d1-005,16,pre,2,977.1457093112044,305,4472.384467837689,-3360.2934395722928,160,415,pre
d1-005,17,post,5,1005.0732738903843,300,4131.055529148083,-4716.4405756063425,55,415,second
d1-005,17,pre,2,910.3815351820767,290,4392.593810672881,-2452.314294351333,85,500,pre
d1-005,18,post,5,945.1700741360751,470,3225.9858339717707,-3142.150594765906,385,670,second
d1-005,18,pre,2,1054.5861765659306,270,5660.163724693235,-3647.015159639629,115,415,pre
d1-006,1,post,4,935.8688768519135,270,4916.488297051985,-3368.0323311164175,120,375,first
d1-006,1,pre,2,752.1130853798684,315,3380.1820009045073,-2293.1610775755667,110,485,pre
d1-006,2,post,4,1014.0872509187112,320,4669.554782335605,-3198.2268062708426,75,395,first
d1-006,2,pre,2,567.7253817270287,305,2583.05278006214,-2717.121105547135,55,505,pre
d1-006,3,post,4,934.3006572026396,305,4672.250129689781,-3596.3371736508084,65,470,first
d1-006,3,pre,2,476.7925967992743,655,1024.2243789137492,-989.160217057816,340,770,pre
d1-006,4,post,4,814.6419679401258,280,4135.702395737977,-2027.9435541670448,60,480,first
d1-006,4,pre,2,485.5383278134193,805,1504.9305042029737,-1601.3919340239213,725,945,pre
d1-006,5,post,4,971.3569470672298,305,4783.3896683896055,-3008.3923154781114,110,450,first
d1-006,5,pre,2,885.6106938301488,355,3110.526618201935,-2904.394322825661,155,500,pre
d1-006,6,post,4,861.1236798107752,355,3591.3813946511095,-3103.9515870756286,65,525,first
d1-006,6,pre,2,903.3586325320651,295,3757.1582214502164,-3105.87148831096,70,400,pre
d1-006,7,post,4,954.915589294769,455,3993.9727506844233,-3127.193897545162,55,580,first
d1-006,7,pre,2,874.1949504791503,198,3520.3974127812135,-2293.552206082536,113,618,pre
d1-006,8,post,4,943.4641731710657,370,3899.9373125349616,-3235.5389595509305,225,610,first
d1-006,8,pre,2,643.8331438770401,520,3565.515589387106,-1969.604564037771,160,660,pre
d1-006,9,post,4,970.3449536594223,335,4103.023183542233,-3024.9318832813888,130,380,first
d1-006,9,pre,2,617.5707222738042,530,1683.4103195427388,-1344.7607796845118,75,715,pre
d1-006,10,post,4,868.4243052263579,415,3174.8054378800016,-2438.1947070534015,185,545,first
d1-006,10,pre,2,989.3107687759741,570,5262.659560218119,-3780.4453396309054,505,740,pre
d1-006,11,post,4,893.0185349244725,340,3356.6436512490645,-3930.9654910229992,190,790,first
d1-006,11,pre,2,826.3695792740959,395,4542.518468474413,-2014.0349326241294,95,490,pre
d1-006,12,post,4,830.1596690504429,350,2836.38208127511,-2423.620886980619,285,555,first
d1-006,12,pre,2,880.00091613731,365,3106.079020222583,-3190.456915189682,65,505,pre
d1-006,13,post,4,759.4720424097279,355,4497.1818043359435,-2151.5386363241173,55,560,first
d1-006,13,pre,2,959.4047883082991,330,3899.0565142829414,-2930.7427350123444,100,455,pre
d1-006,14,post,4,822.8364725248865,310,3614.3312440188442,-3119.2252389921327,125,475,first
d1-006,14,pre,2,1001.1594777440889,430,3354.4725329155135,-3553.1086915781243,45,580,pre
d1-006,15,post,4,1071.6565835541305,525,6976.427123283664,-3395.2763149945504,460,635,first
d1-006,15,pre,2,834.3648802190116,345,3230.0886916823506,-2327.2017685702417,65,580,pre
d1-006,16,post,4,911.1798789627828,455,3457.1236232062583,-2920.657434699771,255,660,first
d1-006,16,pre,2,851.4195261860946,320,3557.658218360059,-2327.3105285758747,105,500,pre
d1-006,17,post,4,836.2347087616852,315,3184.3914797253656,-2453.7694935374093,75,775,first
d1-006,17,pre,2,862.0249270830743,300,3864.22676025045,-2722.583647164808,50,425,pre
d1-006,18,post,4,838.5263984125261,345,3031.033209708621,-2502.6427518215223,160,555,first
d1-006,18,pre,2,875.5748010271537,355,3912.1727970743673,-2527.137487895896,240,635,pre
d1-007,1,post,5,1176.8022600699046,275,5801.094152542957,-4587.779450649888,70,575,second
d1-007,1,pre,2,1068.0897535726644,330,4547.8775395733255,-3042.069206544603,95,530,pre
d1-007,2,post,5,1097.6131536899447,280,6336.0442060869345,-3648.3896051450547,80,445,second
d1-007,2,pre,2,1031.4309579954463,240,6669.580234845545,-4047.051686270021,100,370,pre
d1-007,3,post,5,1237.754098855528,240,7240.176016662799,-4152.958866609046,95,435,second
d1-007,3,pre,2,1044.6903735796723,275,6496.901566267913,-4225.351474058835,120,445,pre
d1-007,4,post,5,1292.468132406703,240,8200.228878338956,-4498.926732624301,90,445,second
d1-007,4,pre,2,1173.974253345492,240,7626.638827930253,-5102.289621815713,140,415,pre
d1-007,5,post,5,1341.3450471647016,245,8866.389744905808,-5212.681342610007,95,350,second
d1-007,5,pre,2,1200.636704565589,270,6178.797274137449,-4232.984760182171,85,440,pre
d1-007,6,post,5,1237.4246599987605,290,9536.4135321377,-5086.997666912186,85,450,second
d1-007,6,pre,2,1233.7461618066418,270,6734.794481874442,-5021.178420720311,145,430,pre
d1-007,7,post,5,1292.3214390923135,300,7713.79690770431,-5375.173464008782,85,420,second
d1-007,7,pre,2,1257.122728880648,225,8709.563619909957,-4697.41940479132,100,350,pre
d1-007,8,post,5,1227.3444834538966,290,8435.854084748924,-5476.583600967319,80,425,second
d1-007,8,pre,2,1193.3709187618795,250,7905.03136318189,-4694.981574934456,75,395,pre
d1-007,9,post,5,1304.7633763188464,295,6744.763141197747,-4779.674482941699,90,395,second
d1-007,9,pre,2,1262.8661892447176,255,7661.413074222832,-4705.264651361265,100,405,pre
d1-007,10,post,5,1266.9059560698652,265,7668.96294088612,-4855.028489838789,85,355,second
d1-007,10,pre,2,1301.4618706987367,245,8865.42034890909,-5073.864268143368,105,345,pre
d1-007,11,post,5,1288.0699654669497,350,11031.283505547042,-6332.070923277579,85,445,second
d1-007,11,pre,2,1254.6694846206733,445,7175.264847886491,-4843.235472853014,320,605,pre
d1-007,12,post,5,1416.0400290926632,285,7963.434101205714,-5116.374068233317,100,455,second
d1-007,12,pre,2,1224.4717509044806,245,7580.079311496476,-5338.8239266387845,85,420,pre
d1-007,13,post,5,1323.6309663537013,265,7811.4151092214515,-6316.475029360636,85,445,second
d1-007,13,pre,2,1253.4887606161722,285,7172.79633055055,-5355.183492980483,105,395,pre
d1-007,14,post,5,1323.9289232907815,265,7265.879259312604,-5288.112632061439,80,405,second
d1-007,14,pre,2,1212.4024457567307,400,5351.551086389221,-5451.2912295851365,195,525,pre
d1-007,15,post,5,1374.7240432998797,225,8965.692168055504,-5273.2402058259395,95,385,second
d1-007,15,pre,2,1299.093792897555,300,7423.627028822753,-4942.727794296198,155,415,pre
d1-007,16,post,5,1432.4927594890896,230,9131.90278484676,-5228.999430048534,120,365,second
d1-007,16,pre,2,1252.793593446618,275,7235.315144522734,-5146.102525148173,95,395,pre
d1-007,17,post,5,1344.8694606668714,285,7035.351664158879,-5778.50270195117,90,370,second
d1-007,17,pre,2,1277.4585307130883,300,6279.153495505185,-4225.41818823527,155,455,pre
d1-007,18,post,5,1501.1909931789567,255,7959.889305013484,-6231.929818357168,105,355,second
d1-007,18,pre,2,1250.9097350586608,315,6369.944466554218,-5174.099558139685,170,415,pre
d1-008,1,post,5,732.4680117016571,345,3369.5976219396857,-1638.5501208191195,115,445,second
d1-008,1,pre,2,642.8937227373866,250,3359.392803996169,-2667.3789747464584,95,620,pre
d1-008,2,post,5,609.6437012192739,395,3290.2133499296933,-1235.201979253232,75,675,second
d1-008,2,pre,2,873.6068596237492,335,3995.6382983456892,-2465.696860911371,55,530,pre
d1-008,3,post,5,611.6897620887548,400,2289.419275701058,-1440.4143997435788,5,590,second
d1-008,3,pre,2,847.7483273390478,360,5158.878711191219,-2449.204289945251,65,495,pre
d1-008,4,post,5,610.664007991673,450,1647.5097544018142,-1472.5243523499594,295,840,second
d1-008,4,pre,2,925.5564565249907,355,3879.7511525706786,-3416.0076371640484,185,555,pre
d1-008,5,post,5,674.8167864135671,445,2425.5995289786406,-1856.847024129259,135,595,second
d1-008,5,pre,2,944.702882094359,360,3711.561362050823,-2948.623987513368,145,490,pre
d1-008,6,post,5,716.1444948013659,390,2962.9674359319433,-1957.2539815927132,100,580,second
d1-008,6,pre,2,876.0597633926025,370,4097.801178962347,-2502.425603413227,65,490,pre
d1-008,7,post,5,695.3847748364802,370,2717.5025444023895,-1452.1373510712415,170,610,second
d1-008,7,pre,2,802.9795040347343,335,5457.56781374293,-2126.260002172772,85,490,pre
d1-008,8,post,5,670.7133578393612,431,2351.6447724979494,-2075.334672913099,156,711,second
d1-008,8,pre,2,842.8938812903045,445,2550.5817424100724,-2962.163495063664,40,630,pre
d1-008,9,post,5,675.1418247356385,445,2745.352352250972,-1690.5409587252475,55,615,second
d1-008,9,pre,2,796.0319344225443,410,4045.8550056903737,-2846.456609150225,85,580,pre
d1-008,10,post,5,716.3131679434564,445,2206.1738682329396,-2010.5375857698411,165,675,second
d1-008,10,pre,2,838.7578135918556,355,3025.323078729104,-2655.254735195952,170,590,pre
d1-008,11,post,5,632.1963453770791,365,2555.5062681125137,-1589.0988188109109,145,665,second
d1-008,11,pre,2,879.7306914576483,380,3954.393321423867,-3173.5180313577303,85,495,pre
d1-008,12,post,5,517.8092895274098,925,3126.8548948635134,-1521.3630823371634,705,1085,second
d1-008,12,pre,2,823.3696397312032,365,3661.8939920509147,-2639.2385890226224,130,505,pre
d1-008,13,post,5,721.5515489721918,360,2798.0874756323738,-1938.5561295466264,115,560,second
d1-008,13,pre,2,853.9552146324887,450,2989.243829397426,-3189.6172264431702,60,510,pre
d1-008,14,post,5,655.115773539002,450,2468.297553427274,-1785.0210213578564,195,765,second
d1-008,14,pre,2,780.7461012932606,390,3252.0330229074666,-2448.882681013858,60,575,pre
d1-008,15,post,5,700.0376465183708,410,2456.5784139215784,-1600.7493836812498,175,705,second
d1-008,15,pre,2,876.7197500896672,345,3981.6360031967956,-2996.5320978822374,65,550,pre
d1-008,16,post,5,612.3233767160887,515,2051.1032478935567,-1656.4220451603867,135,645,second
d1-008,16,pre,2,980.1518857097807,390,4158.3791340396565,-3627.9596698316136,55,540,pre
d1-008,17,post,5,663.0429972165584,370,3402.4662245867466,-1751.6799727768446,65,635,second
d1-008,17,pre,2,851.2169699373189,370,3157.9175535459644,-2962.8659562253342,60,590,pre
d1-008,18,post,5,608.7789268435288,565,2051.1603249563086,-1374.9985716803926,165,830,second
d1-008,18,pre,2,935.0741820005251,355,3815.775401490986,-3280.1408523538216,55,525,pre
d1-009,1,post,4,762.6959271660276,275,3264.8864767897467,-2141.138781707096,65,560,first
d1-009,1,pre,1,950.1812739612193,320,3764.4554413887913,-3545.8567313790236,200,465,pre
d1-009,2,post,4,948.3382951331234,286,4711.267227578916,-4149.724610510415,161,406,first
