ppid,trial_num_in_block,order,time,vel_m_filt,vel_lat_filt,acc_m_filtfilt,dec_m_filtfilt,acc_lat_filtfilt,dec_lat_filtfilt
d3-009,11,first,post,1058.20837288199,380,7169.83314320542,-5042.21949160772,235,505
d3-009,12,first,post,956.588896029903,285,5628.67982150641,-4236.79818624539,175,465
d3-009,13,first,post,943.504161477687,360,4472.7779383182,-4647.12103977937,160,505
d3-009,14,first,post,1038.51039184253,330,4822.6862384599,-5099.5108821232,250,475
d3-009,15,first,post,971.542323342168,305,6123.07731394689,-4201.16616041941,180,460
d3-009,16,first,post,1158.55807016346,285,7043.35505234828,-5100.78938085286,195,425
d3-009,17,first,post,1107.52878228496,295,6334.47482995684,-4669.64730755733,170,470
d3-009,18,first,post,1002.04945614503,295,6456.55371046455,-2981.29889434723,200,400
d3-009,1,pre,pre,950.609349824362,335,5325.1154379266,-3080.96669804173,170,535
d3-009,2,pre,pre,1222.11846746052,325,6503.84342920483,-4837.75190255874,155,450
d3-009,3,pre,pre,885.919027193435,430,7409.84365190102,-3217.85006200194,155,795
d3-009,4,pre,pre,986.752533382813,415,5326.69992807244,-3733.13522727901,180,590
d3-009,5,pre,pre,1257.289795853,385,6613.97465387435,-5991.3669569794,160,495
d3-009,6,pre,pre,1082.50023228559,420,5286.22951060269,-3942.30978487527,205,495
d3-009,7,pre,pre,1049.66844081257,360,6416.3627470691,-3118.20372492295,200,475
d3-009,8,pre,pre,1045.49560211866,370,5622.07888969784,-3111.84263462123,160,455
d3-009,9,pre,pre,966.915411299151,395,4742.07727676529,-2970.95186199795,270,550
d3-009,10,pre,pre,946.052446449193,360,4832.39617036581,-2582.88266555995,190,565
d3-009,11,pre,pre,1027.77729441937,390,5721.46471857072,-4631.30024181814,180,455
d3-009,12,pre,pre,972.178347373968,370,5736.77326092422,-3548.9948877798,195,510
d3-009,13,pre,pre,940.131876825352,340,5663.45042499724,-3319.53697558193,200,565
d3-009,14,pre,pre,959.267195844675,370,4754.23481618528,-2745.92430241453,210,520
d3-009,15,pre,pre,907.843617854329,425,5055.15902750084,-3469.53724752441,225,625
d3-009,16,pre,pre,791.498924260236,365,4626.65238662853,-1771.68914600284,195,715
d3-009,17,pre,pre,942.9007024842,310,4535.10057805363,-3310.99724900284,185,530
d3-009,18,pre,pre,1014.38227303082,330,6790.94064094127,-4058.51349406006,160,470
d3-010,1,first,post,1040.40571045477,390,5704.00591884635,-5093.72159382492,155,555
d3-010,2,first,post,939.605850927862,445,5632.27387184316,-3417.90970868897,210,565
d3-010,3,first,post,896.90044294957,410,4452.38641859688,-3235.97442428765,185,615
d3-010,4,first,post,912.11701187818,485,4918.97455314215,-3044.61420048586,210,620
d3-010,5,first,post,971.638628278775,340,5409.07935989564,-2916.6875871635,130,610
d3-010,6,first,post,1086.09085582517,305,6738.78374135788,-5291.6499313401,130,500
d3-010,7,first,post,1126.8511727262,410,7924.35874836259,-5513.8168308364,170,490
d3-010,8,first,post,925.782370804831,400,4483.5862690107,-3500.67374688752,205,560
d3-010,9,first,post,1049.98629512686,435,4091.26829257538,-6240.91627882307,175,565
d3-010,10,first,post,1029.26951809026,370,7033.57368927894,-3716.92590099232,145,500
d3-010,11,first,post,1122.80857844079,365,4670.33888241211,-4989.1190019458,245,545
d3-010,12,first,post,1127.19522845371,440,6755.43442693448,-6605.77880023502,220,515
d3-010,13,first,post,1130.1395278356,350,5721.6132936983,-5750.44569195314,165,520
d3-010,14,first,post,1176.54717422187,325,6763.02003844095,-5129.51909663353,135,485
d3-010,15,first,post,1367.03360894335,305,6358.5536204849,-5171.29584300815,260,485
d3-010,16,first,post,1167.57975939585,290,7431.32204616117,-3607.10868276878,150,445
d3-010,17,first,post,1136.62247520232,265,5827.10514906424,-6582.10421024,125,425
d3-010,18,first,post,1035.98749285335,310,4517.26413229888,-4424.37614139118,145,465
d3-010,1,pre,pre,1238.45183806845,300,9224.46388190017,-5867.10579141092,150,510
d3-010,2,pre,pre,1231.30917922287,355,7114.51965824801,-5135.37968866808,175,465
d3-010,3,pre,pre,1072.83150579339,420,4676.68997051444,-4160.01699548811,145,575
d3-010,4,pre,pre,1183.83793478606,370,5176.10664060364,-4655.33230329707,125,520
d3-010,5,pre,pre,968.414861745537,430,4476.06614058245,-4906.29797725929,150,670
d3-010,6,pre,pre,1179.46449850116,460,4679.97449934373,-5262.02701152179,270,615
d3-010,7,pre,pre,1161.01282583367,335,7362.23300109245,-3722.52820942912,160,475
d3-010,8,pre,pre,1148.37567180004,355,5616.86998743707,-4237.99682791537,145,630
d3-010,9,pre,pre,968.075619270679,375,5260.13262030441,-5245.43334809521,135,620
d3-010,10,pre,pre,1144.53295025154,270,8489.15241917823,-3926.67883163477,155,490
d3-010,11,pre,pre,1061.64041487463,395,6035.95714942909,-5097.77235947134,150,540
d3-010,12,pre,pre,1165.61669150028,390,5677.1801355115,-6261.67763163787,175,510
d3-010,13,pre,pre,1032.35916919307,460,4333.94673366496,-5013.21678951858,230,615
d3-010,14,pre,pre,1121.39190852016,340,5693.33136675606,-4688.60207002741,140,530
d3-010,15,pre,pre,947.12071279356,350,4968.24165626219,-3678.82413023436,180,570
d3-010,16,pre,pre,1074.716503075,385,5205.93007308482,-4677.57804603063,200,565
d3-010,17,pre,pre,1003.13331528717,360,4693.23782767768,-4021.45050899502,150,615
d3-010,18,pre,pre,882.183652314695,295,6014.96024118587,-3976.88263304673,145,520
d3-011,1,first,post,1046.25131638788,450,3908.37894417249,-4527.29835069878,285,645
d3-011,2,first,post,1070.84579215117,390,4924.28633261117,-4828.08748669197,235,540
d3-011,3,first,post,1182.83098893489,385,5364.72955251454,-4444.74563351919,125,530
d3-011,4,first,post,1105.70618066224,360,5186.74077634716,-4412.23096758407,145,520
d3-011,5,first,post,997.423628394204,365,4017.59915629196,-3406.63389042876,155,665
d3-011,6,first,post,1108.14433361381,430,4020.2951613939,-4147.7727766461,350,650
d3-011,7,first,post,1069.62664948402,360,4411.20565506218,-3990.70276048197,115,480
d3-011,8,first,post,1131.11120222493,375,5324.00449226913,-3795.32654598118,135,470
d3-011,9,first,post,995.568848501252,425,4094.1041388444,-3683.16414198298,205,605
d3-011,10,first,post,1038.6211886961,475,3746.12687696673,-4476.5015564952,350,550
d3-011,11,first,post,933.938323849506,400,4219.0516107865,-3118.94016010072,270,535
d3-011,12,first,post,1072.50790171231,420,3979.33153442579,-4749.38982041908,290,565
d3-011,13,first,post,1028.63723979032,415,4574.83341705658,-4224.62930127519,285,620
d3-011,14,first,post,960.319601784922,375,4407.30842275196,-2985.6049034942,170,590
d3-011,15,first,post,1070.87143871564,390,4665.88438385898,-4622.76118696061,120,575
d3-011,16,first,post,1155.89043860605,365,5173.73666019916,-3557.35970858112,285,595
d3-011,17,first,post,1120.83177824309,365,6050.92766101668,-4961.33980858173,115,520
d3-011,18,first,post,1209.24634010926,435,5085.06914232071,-4519.27562915257,255,525
d3-011,1,pre,pre,1329.47113797692,385,5926.64244132778,-6394.11163738352,195,490
d3-011,2,pre,pre,925.905084587217,545,2632.49095058293,-2811.79063176657,360,680
d3-011,3,pre,pre,1082.55051756968,375,4576.46111011388,-3668.01249793129,210,630
d3-011,4,pre,pre,850.509559892809,770,4429.25482323942,-3332.03590387449,185,955
d3-011,5,pre,pre,958.340293445718,455,3562.18593744844,-4387.81856917844,265,675
d3-011,6,pre,pre,918.759785258412,485,3944.51631140431,-2534.98352626447,340,880
d3-011,7,pre,pre,954.942586476813,420,4169.78362943333,-4728.35084812582,275,565
d3-011,8,pre,pre,933.654509766067,405,3880.39406154794,-4139.19181580473,110,595
d3-011,9,pre,pre,1148.36164428685,400,4430.37751361733,-4188.36434807964,250,600
d3-011,10,pre,pre,820.304784096212,465,3637.34482891883,-2602.202834082,110,790
d3-011,11,pre,pre,1115.95666076162,435,4129.32440767886,-4446.03070704909,300,475
d3-011,12,pre,pre,932.518625282239,365,4071.68472081847,-2965.68485828186,240,760
d3-011,13,pre,pre,986.83555594833,545,4613.78963729947,-5744.92744890562,205,585
d3-011,14,pre,pre,975.589824478131,470,3995.31930142659,-3695.78110411527,215,585
d3-011,15,pre,pre,956.270434890582,415,4791.30270613086,-3006.62195394013,235,670
d3-011,16,pre,pre,1137.89538864687,395,4681.51544539538,-4910.58333185561,220,580
d3-011,17,pre,pre,1237.07823349177,375,5070.59561461154,-4313.18147880258,310,535
d3-011,18,pre,pre,1077.35001610328,395,4629.98086351892,-3752.92631169268,320,700
d3-012,1,second,post,959.296132131401,380,4938.50649838251,-4310.11268619745,205,505
d3-012,2,second,post,1063.83494071794,415,4864.6642212987,-5926.265828784,255,555
d3-012,3,second,post,1102.97665985015,280,8514.37076631393,-5163.47865371855,155,395
d3-012,4,second,post,1139.53496197867,320,7299.93654650811,-5819.28101646772,155,440
d3-012,5,second,post,1176.07363342718,320,6705.01602671939,-6221.9625829455,155,445
d3-012,6,second,post,741.110987044856,565,2574.64341554361,-2462.19921949556,130,760
d3-012,7,second,post,1133.70903997606,500,5182.0831343182,-5012.12465464178,310,645
d3-012,8,second,post,1110.19200339556,400,4579.90922546463,-5513.98646139345,165,525
d3-012,9,second,post,1145.84412289393,405,4841.96359541175,-4135.1492311941,250,490
d3-012,10,second,post,1067.52409788356,415,5519.43786647051,-5287.51738591236,200,565
d3-012,11,second,post,1055.14448908695,375,6004.10729046779,-4505.75162730111,195,500
d3-012,12,second,post,1015.5324859544,305,6138.39456579234,-4443.21606355019,135,510
d3-012,13,second,post,1046.93001936946,385,5801.30826345265,-5200.11594442727,160,530
d3-012,14,second,post,1223.19345023167,410,6710.83197048258,-6418.040703585,255,525
d3-012,15,second,post,1057.72836014901,370,5738.65954470982,-5214.46364112578,195,525
d3-012,16,second,post,1081.76525273525,380,5753.0268122392,-4365.00369931852,140,505
d3-012,17,second,post,1110.83402431125,325,7044.40149789701,-5998.84846097704,135,440
d3-012,18,second,post,1266.93710704903,360,6773.70004586715,-5916.21189458187,140,450
d3-013,1,second,post,1287.50716757757,295,7086.02365258078,-5453.66941689955,170,430
d3-013,2,second,post,1515.6339332087,320,9611.83184917037,-6957.20152199942,120,390
d3-013,3,second,post,1543.83579553578,310,9624.60806134158,-8000.8239776503,145,435
d3-013,4,second,post,1618.00679326239,300,11013.0677757141,-9908.27728267554,135,420
d3-013,5,second,post,1591.30802549754,305,10900.2246708858,-8965.07924090909,140,430
d3-013,6,second,post,1590.47137222241,310,9411.08834972778,-9525.20399666523,160,410
d3-013,7,second,post,1513.37452495451,315,7574.41169084171,-8549.75380529855,135,435
d3-013,8,second,post,1634.90394547765,335,9890.08128352691,-9847.3134190037,120,455
d3-013,9,second,post,1508.32320779591,330,8811.09657359203,-8906.0357638633,125,435
d3-013,10,second,post,1509.8375609296,325,8573.98280006895,-8377.85358397769,130,445
d3-013,11,second,post,1544.0961163603,315,10658.8811200361,-10327.7191958594,140,420
d3-013,12,second,post,1559.34405006838,310,9888.21682979387,-9123.11881475527,150,430
d3-013,13,second,post,1570.53761405813,310,8778.50511434686,-8689.22043999517,125,415
d3-013,14,second,post,1485.14188480838,310,9437.09533330009,-8227.27325521852,140,430
d3-013,15,second,post,1513.80902686421,310,9641.20504362982,-8497.6061768125,150,430
d3-013,16,second,post,1576.45451234541,320,9478.61822179535,-9864.93761678465,145,425
d3-013,17,second,post,1466.50590689536,300,9270.43922089759,-7899.58327338429,125,410
d3-013,18,second,post,1500.49502897141,345,7886.81028696361,-8436.30919129751,155,485
d3-013,1,pre,pre,1209.78167548675,355,7154.79721049078,-5853.47232537358,215,440
d3-013,2,pre,pre,1332.73643047399,355,8053.70194091458,-6395.79640280161,195,510
d3-013,3,pre,pre,2396.80068385846,380,10125.1983882122,-28132.7201595574,210,405
d3-013,4,pre,pre,1465.76125473699,300,9782.52749474009,-7568.93074434215,180,465
d3-013,5,pre,pre,1478.81188963272,300,8900.88780721653,-7033.07434486036,205,440
d3-013,6,pre,pre,1449.84962767237,290,10292.308593871,-7698.11157413209,160,410
d3-013,7,pre,pre,1513.98149530216,300,9809.04330801725,-6925.13226962582,180,455
d3-013,8,pre,pre,1464.97526199619,340,7033.14549558374,-7455.30375211945,145,440
d3-013,9,pre,pre,1732.81804258933,295,11821.738689851,-8777.40661039875,190,360
d3-013,10,pre,pre,1485.49045345387,320,9019.94432504835,-7920.79579476916,150,435
d3-013,11,pre,pre,1585.4743251996,290,9540.72141652545,-8079.36939425112,160,430
d3-013,12,pre,pre,1583.71645600171,305,9274.39838706541,-9054.57442273421,155,415
d3-013,13,pre,pre,1407.22676443223,305,8553.34069887707,-5537.47960611245,140,455
d3-013,14,pre,pre,1514.45452635271,295,9785.34103314538,-7582.23117942134,185,410
d3-013,15,pre,pre,1565.55492005548,320,8531.08010183252,-9547.17228199262,190,450
d3-013,16,pre,pre,1586.93398505898,300,9716.90554439321,-9028.68895650637,210,425
d3-013,17,pre,pre,1537.6909941034,310,9822.92742072224,-7916.88465688897,185,435
d3-013,18,pre,pre,1557.65067032254,335,8468.00579177428,-8906.27667716902,170,435
d3-014,1,second,post,802.17196736106,515,2846.72678480506,-2245.48704850341,195,640
d3-014,2,second,post,786.874886444353,345,3704.95828362212,-2319.28667655681,155,500
d3-014,3,second,post,863.289537575418,435,3075.35156526527,-2437.49707100809,180,565
d3-014,4,second,post,886.977131317218,470,2942.37948549596,-2627.5062476803,340,630
d3-014,5,second,post,745.367427252157,425,3366.38731936294,-2997.01339629695,165,725
d3-014,6,second,post,780.305107183573,500,3724.50955841728,-2534.18917565503,210,825
d3-014,7,second,post,951.79139255837,445,3350.32793584559,-3054.68143381081,230,610
d3-014,8,second,post,909.273598452733,435,3885.45844829811,-3062.80872285801,190,570
d3-014,9,second,post,804.095684502368,470,2774.47727905601,-2635.42583022961,210,730
d3-014,10,second,post,948.020863634669,565,2881.42133107765,-3342.5826861043,350,640
d3-014,11,second,post,766.100711302434,450,3377.0890194544,-2484.2881282456,200,655
d3-014,12,second,post,819.316885153653,420,3911.93279727003,-3039.83755087725,145,495
d3-014,13,second,post,779.546452389451,455,3156.00666951013,-2697.32362299057,195,730
d3-014,14,second,post,884.819982830678,515,2894.36171700759,-3728.35659772214,415,650
d3-014,15,second,post,799.204823405569,465,3692.17199692133,-3257.61986211833,220,660
d3-014,16,second,post,773.127736178201,480,3249.41958268124,-2486.30071606807,285,620
d3-014,17,second,post,741.24330504943,600,2386.62744937204,-2595.51743479122,195,685
d3-014,18,second,post,824.552580975115,440,2764.61415234004,-2605.05512342043,160,625
d3-014,1,pre,pre,421.471937221658,525,2421.19284531922,-1568.72611518528,465,1285
d3-014,2,pre,pre,757.105383399752,430,3356.92675314153,-2110.56349800961,255,580
d3-014,3,pre,pre,715.45950121893,425,5017.47850873935,-1773.4061076128,260,810
d3-014,4,pre,pre,750.912675744896,450,2981.42669930935,-3895.72085922555,175,850
d3-014,5,pre,pre,765.76681565828,460,4757.84235501817,-3098.7701637091,140,675
d3-014,6,pre,pre,877.384746841225,490,2302.01713431608,-2689.24438213761,385,620
d3-014,7,pre,pre,627.78426479101,480,2750.19757007254,-1822.07168083512,345,780
d3-014,8,pre,pre,916.95476703582,355,4155.96039628954,-3401.20925266946,235,640
d3-014,9,pre,pre,925.488363977405,410,3656.63731143802,-3291.99860791071,175,760
d3-014,10,pre,pre,1018.59411300179,425,6595.61822850529,-4245.36022564795,150,575
d3-014,11,pre,pre,970.810235268377,490,3543.47551746786,-3294.87200982979,185,595
d3-014,12,pre,pre,962.045695414171,500,2725.42382218846,-3341.66170665434,110,575
d3-014,13,pre,pre,853.33337082089,410,4110.01134315238,-2859.80402683981,180,665
d3-014,14,pre,pre,830.835848288462,550,2918.54338625441,-3389.18316546712,240,770
d3-014,15,pre,pre,937.825116811364,430,3475.11713805703,-3532.07150719107,240,565
d3-014,16,pre,pre,889.135893735024,520,3154.21409118391,-3252.7396605764,200,600
d3-014,17,pre,pre,778.0267554489,425,4722.99461444249,-2605.44188442715,175,785
d3-014,18,pre,pre,901.196205990133,505,3101.02607021454,-3027.73734788749,205,585
d3-015,1,first,post,1226.47973457083,375,5701.44940883254,-5510.70370132108,275,475
d3-015,2,first,post,1114.21411971108,365,4848.04549650141,-4562.63022129831,165,470
d3-015,3,first,post,982.99205861734,360,4282.71891778131,-3878.63074343204,205,460
d3-015,4,first,post,1205.4395883539,370,5825.4551585185,-5613.00986407104,210,455
d3-015,5,first,post,1244.95458983256,365,5344.52707768388,-6431.71229378302,250,440
d3-015,6,first,post,1451.01461029962,360,6208.85029362924,-8898.76223739022,295,420
d3-015,7,first,post,1202.83321125891,350,6700.24754979552,-6010.51865424571,200,440
d3-015,8,first,post,1269.0531158753,365,4805.8732290475,-6737.54137830514,285,440
d3-015,9,first,post,1293.79769943324,320,7752.50089091103,-5974.89506111647,220,450
d3-015,10,first,post,1373.62520331598,315,7972.48828618973,-8897.23506748433,155,390
d3-015,11,first,post,1319.26951582994,345,6428.14539763853,-8094.16664465257,145,405
d3-015,12,first,post,1234.16525032218,340,6623.94846570404,-6276.09016240973,160,410
d3-015,13,first,post,1292.23369188997,355,7102.78014998725,-7616.45325605339,225,430
d3-015,14,first,post,1069.36254032723,315,6997.95180233062,-4441.12366117887,180,490
d3-015,15,first,post,1099.72046957469,380,5352.92311181263,-4908.87668006593,215,465
d3-015,16,first,post,958.821687855919,400,5154.14609606385,-3586.44115516267,260,595
d3-015,17,first,post,1219.06076186852,345,8490.51214630163,-6149.59635060842,190,430
d3-015,18,first,post,1214.83145763531,400,4594.45415042235,-5897.15111830848,130,540
d3-015,1,pre,pre,1085.82012695551,315,6671.36589159046,-4134.9056601047,190,480
d3-015,2,pre,pre,896.986223201185,420,7070.39574633848,-3097.96036436659,300,675
d3-015,3,pre,pre,679.341699137089,270,3774.88092783739,-3859.34831750529,155,750
d3-015,4,pre,pre,1200.56994383238,365,6173.36186205143,-4789.47597977491,170,480
d3-015,5,pre,pre,1154.2832314018,355,6003.54691294141,-3801.80381616065,215,485
d3-015,6,pre,pre,1182.93296467514,340,6447.81181883048,-5746.34942742151,235,450
d3-015,7,pre,pre,952.605694045766,360,5049.0372165754,-3425.18573707612,270,510
d3-015,8,pre,pre,1035.49475236331,405,5103.56244675609,-5107.24236519487,300,485
d3-015,9,pre,pre,958.728970490342,375,3797.45310093393,-4429.48046985626,150,570
d3-015,10,pre,pre,1057.84702305706,350,5229.52987529653,-4207.14045011242,260,475
d3-015,11,pre,pre,1152.30162034774,345,7382.84976271605,-5964.45308622563,240,440
d3-015,12,pre,pre,1216.11572217798,365,4671.97034729031,-5111.87687636542,270,405
d3-015,13,pre,pre,1067.77824794328,440,4667.91406288644,-4595.75524241391,330,535
d3-015,14,pre,pre,970.881086306529,430,4964.53961053281,-3919.75196315938,335,555
d3-015,15,pre,pre,934.527787578238,450,3769.93607464625,-4397.55401214002,215,610
d3-015,16,pre,pre,888.459200325678,450,3294.80738340791,-3018.40523137051,290,715
d3-015,17,pre,pre,907.091020746872,385,3741.6289430038,-3470.09887833667,135,585
d3-015,18,pre,pre,1115.88050009511,510,3408.65961339936,-5674.60613527662,330,605
d3-016,1,first,post,834.831981545305,355,5045.12003665561,-2939.62140703544,130,505
d3-016,2,first,post,1212.26144043041,335,5533.59908439555,-4133.97053171294,300,385
d3-016,3,first,post,940.536185309881,460,5397.59847009728,-4295.58219484249,160,600
d3-016,4,first,post,911.854677674837,320,5959.83305327892,-3581.86026988042,150,615
d3-016,5,first,post,1052.23331319888,370,5236.11883492559,-6329.79265456509,160,530
d3-016,6,first,post,1066.64017666755,400,5138.10518646895,-4927.40382509727,150,520
d3-016,7,first,post,1131.15504562314,400,4294.85722483993,-4565.25720758754,355,485
d3-016,8,first,post,932.252442290713,420,4501.14253490998,-4184.8357275516,140,570
d3-016,9,first,post,1141.77270095329,510,4338.26942800691,-5771.10557049157,360,650
d3-016,10,first,post,1078.0856790466,405,6216.02138915476,-5034.96229551308,195,535
d3-016,11,first,post,1044.52230495072,395,5413.61916303517,-5315.67113816446,230,530
d3-016,12,first,post,1325.12968197434,435,5889.29796320976,-5782.4185132694,345,500
d3-016,13,first,post,1013.3848579134,315,7549.63447237918,-3358.95048385476,195,630
d3-016,14,first,post,1154.74174717636,350,5247.94541934613,-6174.18966838275,140,475
d3-016,15,first,post,946.864776590138,325,5572.72868729317,-3074.2372399169,180,540
d3-016,16,first,post,1055.14202999276,340,6019.63616361866,-5674.13617116226,195,545
d3-016,17,first,post,1033.50069250618,390,4203.87367034834,-5554.59711390291,225,490
d3-016,18,first,post,1037.22176781408,430,5167.86671413227,-3736.94818664361,190,490
d3-016,1,pre,pre,1132.93737943743,460,5975.40377070157,-4496.06713036697,295,605
d3-016,2,pre,pre,1028.71587839461,415,4128.50537641578,-4161.656144328,240,595
d3-016,3,pre,pre,1085.06565278577,405,5773.65872690261,-4488.28158119187,325,620
d3-016,4,pre,pre,931.296258051542,485,3355.53560511353,-3699.37782561657,175,630
d3-016,5,pre,pre,830.002475855461,505,4534.30887175811,-3872.67331193567,200,660
d3-016,6,pre,pre,892.930743382294,575,4347.59230722138,-5353.74797749723,240,630
d3-016,7,pre,pre,1081.45001650328,295,6671.25388324601,-4747.27314341113,225,555
d3-016,8,pre,pre,1201.76739183391,375,6311.77500525583,-4983.52388661566,280,435
d3-016,9,pre,pre,1013.40316527306,370,5213.64912849339,-2796.74106014737,255,600
d3-016,10,pre,pre,891.146785364465,390,5409.81754244424,-4771.35117692377,160,535
d3-016,11,pre,pre,970.615788585581,395,5154.80768824824,-3606.18915069278,145,470
d3-016,12,pre,pre,990.449393618838,410,3654.98198948691,-2968.88679255866,350,630
d3-016,13,pre,pre,1030.64108669473,360,5622.60734312438,-5785.56904255544,275,540
d3-016,14,pre,pre,995.650066614443,450,4443.41267347599,-6221.02566472707,215,515
d3-016,15,pre,pre,1056.95680191716,375,6371.3730621762,-5169.04437326419,290,460
d3-016,16,pre,pre,1053.00619178162,360,4855.60674363904,-5161.78080295061,235,510
d3-016,17,pre,pre,879.792690794612,385,3541.39253286066,-3586.52631865994,130,630
d3-016,18,pre,pre,905.554717888202,365,4225.46063761966,-3116.76444838691,200,530
d3-017,1,second,post,852.969293774018,395,4338.71541206402,-2809.94211724501,175,545
d3-017,2,second,post,1141.62583056738,390,7573.02249129073,-4693.64413958128,275,520
d3-017,3,second,post,1018.8390207916,435,5367.50396154932,-4361.55801085693,205,530
d3-017,4,second,post,1124.69464529639,395,5476.21582142091,-4169.54831957365,130,640
d3-017,5,second,post,1039.7505826704,415,4360.28480545189,-4207.58522802304,180,575
